,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
114,SPCG,571.0,i | 1 | 2 | 3,,17.6,0.0,752400.0,13256.0,18582.0,6.93,1.16,0.3,0.65,2.54,14.98,18.04,65.61,6.58,34.0,,146.0,91.0,1.52,,,,,
116,SSP,581.0,i | 1 | 2 | 3,,13.2,-2.22,4966500.0,65695.0,13387.0,19.06,2.98,2.75,0.01,0.69,6.82,16.52,37.62,0.07,34.75,,377.0,511.0,0.64,,,,,
117,STANLY,585.0,i | 1 | 2 | 3,,171.5,-0.87,54800.0,9415.0,13141.0,12.38,0.70,0.15,5.50,13.85,6.19,5.89,8.94,3.18,34.37,,526.0,432.0,-4.7,,,,,
118,STARK,587.0,i | 1 | 2 | 3,,4.12,-0.48,74148000.0,301876.0,49054.0,27.47,11.77,6.35,,0.15,11.74,54.18,9.46,,28.84,,336.0,458.0,0.1,,,,,
119,STGT,590.0,i,,39.0,-0.64,14849200.0,582204.0,111445.0,4.64,2.70,0.37,1.50,8.4,77.75,104.26,64.85,6.69,34.33,,9.0,8.0,,,,,,
120,SUN,596.0,i | 1 | 2 | 3,,6.9,-0.72,18964000.0,133764.0,4450.0,20.89,4.23,0.27,0.05,0.33,18.37,22.28,4.66,0.96,26.49,,348.0,309.0,-0.08,,,,,
121,SVI,601.0,i | 1 | 2 | 3,,4.88,0.83,15463500.0,76477.0,10593.0,17.28,2.53,1.64,0.11,0.28,7.05,15.65,4.26,2.27,18.66,,365.0,475.0,21.39,,,,,
122,SYNEX,605.0,i | 1 | 2 | 3,,25.25,-1.94,1182700.0,30062.0,21396.0,30.77,5.82,1.56,0.40,0.82,9.21,19.86,2.14,2.10,20.3,,454.0,541.0,1.98,,,,,
123,TFG,623.0,i | 1 | 2 | 3,,4.54,-1.73,2568000.0,11734.0,25458.0,10.75,2.20,1.34,0.06,0.42,13.24,22.62,5.29,1.84,15.16,,167.0,179.0,-1.24,,,,,
124,THANI,631.0,i | 1 | 2 | 3,,4.94,-0.8,14109600.0,70112.0,27975.0,15.35,2.48,3.48,0.17,0.32,6.71,19.41,41.36,3.41,30.84,,298.0,464.0,0.73,,,,,
125,TMI,654.0,i | 1 | 3,,1.25,-5.3,36430200.0,46530.0,839.0,43.57,4.31,1.3,,0.03,5.79,10.31,0.94,,33.65,,679.0,746.0,-0.64,,,,,
